id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
4d6f7c738cb6468d8fccce3de8d5d02e,The Dungeon of Naheulbeuk,the-dungeon-of-naheulbeuk,3499,2020-09-17T15:00:00.000Z,Windows,"Step into the wacky heroic fantasy universe of the Dungeon of Naheulbeuk. Lead a team of unlikely and clumsy heroes in an epic and challenging tactical RPG. Live an adventure filled with humor, surprises and silly encounters.",Artefacts Studio,Dear Villagers,"TURN_BASED,RPG,ADVENTURE"
fc589c4813fc447280d432bc8c39081a,Crysis Remastered,crysis-remastered,2999,2020-09-18T07:00:00.000Z,Windows,"The classic first-person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around – now with remastered graphics optimized for a new generation of hardware.",Crytek,Crytek,"SHOOTER,FIRST_PERSON,FPS"
935cf741114c47edb9cdbf2050630ae4,CastleStorm 2,castlestorm2,1999,2020-09-23T15:00:00.000Z,Windows,CastleStorm 2,Zen Studios,Zen Studios,"STRATEGY,FANTASY,4X"
02d44be4c21c4ce094c6151133c91482,Rocket League®,rocket-league,0,2020-09-23T15:00:00.000Z,Windows,"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition.",Psyonix LLC,Psyonix LLC,"CO_OP,MULTIPLAYER,SINGLE_PLAYER"
8a2dd95a9fe04bdebde02b46a8f41aed,Art of Rally,art-of-rally,2499,2020-09-23T15:00:00.000Z,"Windows,Mac",art of rally is a stylized experience inspired by the golden era of rally from the creator of Absolute Drift  Race across the world through colorful and stylized environments in top-down view.  Will you master the art of rally?,Funselektor Labs Inc.,Funselektor Labs Inc.,"ARCADE,RACING,PHYSICS"
10423f6206ae42d9acb0f02ac1c45d8d,DRAGON QUEST® XI S: Echoes of an Elusive Age™,dragon-quest-xi-s-echoes-of-an-elusive-age,3999,2020-09-24T09:00:00.000Z,Windows,"This all-new, complete edition includes the critically acclaimed DRAGON QUEST XI, plus additional side quests, an orchestral soundtrack, 2D mode, and more! Whether you're a longtime fan or a new adventurer, this is the ultimate DQXI experience!",Square Enix,Square Enix,"RPG,SINGLE_PLAYER"
10701b17b68d4ec18beaf7599717065c,Freedom Fighters,freedom-fighters,1499,2020-09-24T14:00:00.000Z,Windows,"Freedom Fighters is an intense third-person action game set in New York. For the first-time ever, IO Interactive's cult classic from 2003 is available digitally in its original form, featuring the soundtrack by award-winning composer Jesper Kyd.",IO Interactive A/S,IO Interactive A/S,"ACTION,SHOOTER"
4ec50a302f1449b3bf706a199c333ab8,RollerCoaster Tycoon 3 Complete Edition,rollercoaster-tycoon-3-complete-edition,1999,2020-09-24T15:00:00.000Z,Windows,"Build the park of a lifetime and rediscover the critically acclaimed rollercoaster simulation bestseller. Feel the thrill of a genre-defining classic, complete with two huge expansion packs.",Frontier Developments,Frontier Foundry,"STRATEGY,SIMULATION"
631d2b0a5f204909bf401cb5696c8f42,Mafia: Definitive Edition,mafia-definitive-edition,3999,2020-09-24T23:00:00.000Z,Windows,"An inadvertent brush with the mob thrusts cabdriver Tommy Angelo into the world of organized crime. Initially uneasy about falling in with the Salieri family, the rewards become too big to ignore.",Hangar 13,2K,"ACTION,SHOOTER"
0fc946078be6410ba6cf29b7f54157c2,Mafia III: Definitive Edition,mafia-iii-definitive-edition,2999,2020-09-24T23:00:00.000Z,Windows,"After Lincoln Clay's surrogate family, the black mob, is betrayed and killed by the Italian Mafia, Lincoln builds a new family and blazes a path of revenge through the Mafioso responsible.",Hangar 13,2K,"ACTION,SHOOTER"
7e235e4287d94ebe9b73bbc5c9380a34,Mafia II: Definitive Edition,mafia-ii-definitive-edition,2999,2020-09-24T23:00:00.000Z,Windows,"War hero Vito Scaletta becomes entangled with the mob in hopes of paying his father’s debts. Vito works to prove himself, climbing the family ladder with crimes of larger reward and consequence.",d3t,2K,"ACTION,SHOOTER"
1db39c1d6db04d8f9d5f198254e6a2df,Port Royale 4,port-royale-4,3999,2020-09-25T16:00:00.000Z,Windows,In ‘Port Royale 4’ you will take control of a colony as a young and ambitious governor who is eager to learn what it takes to manage and grow his small settlement into a bustling trader city.,Gaming Minds Studios,Kalypso Media ,"STRATEGY,SIMULATION,SINGLE_PLAYER"
69ed50cc40734c87b29da42d62093777,Going Under,going-under,1999,2020-09-29T16:00:00.000Z,Windows,"Going Under is a satirical dungeon crawler about exploring the ruins of failed tech startups. As an unpaid intern in the big city, you’ll wield office junk as weaponry as you make your way through the offbeat procedural dungeons beneath your company campus.",Aggro Crab Games,Team17 Digital Ltd,"DUNGEON_CRAWLER,ROGUE_LIKE,INDIE"
36bfbc7a0b664a2891c68dc947922469,Rogue Company,rogue-company,0,2020-09-30T15:00:00.000Z,Windows,The world needs saving and only the best of the best can do it. Suit up as one of the elite agents of Rogue Company and go to war in a variety of different game modes.  Gear up and go Rogue! Download and play FREE now!,First Watch Games,Hi-Rez Studios,"SHOOTER,CO_OP,MULTIPLAYER"
559d2ae2577e463eb9f914883795935e,Pikuniku,pikuniku,1299,2020-10-01T15:00:00.000Z,"Windows,Mac","Help peculiar characters overcome struggles, uncover a deep state conspiracy, and start a fun little revolution in this delightful dystopian adventure!",Sectordub ,Devolver Digital,"INDIE,ADVENTURE,CASUAL"
