id,operacional_system,processor,memory,graphics,fk_game_id
Windows 10 (64 Bit),Intel Core i7-6700 | AMD Ryzen 7 1800X,16GB,Nvidia GeForce GTX 2070 | Equivalent Radeon card,10GB,b8bf369a354e4a01b01d61d750b1bc6d
64-bit Windows 10," AMD Ryzen 5 1600, Core i5 6600K",8 GB,"AMD Radeon RX 560, Nvidia GeForce GTX 1050 Ti",100 GB,a85bd01b67184c4c83f03f05404e07a8
64-bit Windows 10,"AMD Ryzen 7 2700X, Intel Core i7 4790",16 GB,"AMD Radeon RX 6600 XT, Nvidia GeForce RTX 3060",100 GB,a85bd01b67184c4c83f03f05404e07a8
Windows 10 Home (x64),Intel Core i5-3330 or AMD FX-8320 or better,8 GB RAM,GeForce GTX 660 or AMD Radeon R7 265 or better (min 2GB VRAM),35 GB,91468918931c44148b837e76d34bf75a
Windows 10 Home (x64),Intel Core i5-5675C or AMD Ryzen 5 1600 or better,8 GB RAM,GeForce GTX 1060 or Radeon RX 570 or better (min 6GB VRAM),35 GB,91468918931c44148b837e76d34bf75a
Windows 7 64Bit,Intel® Core™ 2 Duo 3.0Ghz,3GB,AMD Radeon HD 5770 1024MB | NVIDIA GTS 450 1024MB | Intel HD4000 @720P,35GB,bb3ce2b4668b4b22aae989f4508f0b71
Windows 8.1/10 64Bit,Intel® Core™ i5-4570 3.20GHz,8GB,AMD Radeon R9 270X 2048MB | NVIDIA GeForce GTX 760 2048MB @1080P,35GB,bb3ce2b4668b4b22aae989f4508f0b71
64bit OS - Windows 7,Intel i3-4170,4 GB RAM,NVIDIA GTX 660 / ATI HD7870 - 1GB VRAM,60 GB available space,7b0d120a875547e9bec70192ddcc96e2
64bit OS - Windows 10,Intel i7 quad-core,8 GB RAM,NVidia GTX 760 / R9 270x - 4GB VRAM,60 GB available space,7b0d120a875547e9bec70192ddcc96e2
Windows 8+,Intel Core i5-8265U,4 GB,Intel UHD 620,2 GB,8c14e25550c4425a8d6e8a58e1d88812
 macOS 10.9 Mavericks,2.0 GHz,2GB,Intel HD Graphics 3000,500MB,154108003e4e4f099634188deb9a01b8
Windows 10,Intel Core i3-2120 | AMD FX-4100,8,Intel Iris Xe Graphics | GeForce GTX 750 | Radeon HD 7770,36,f3389e763ab34d2880a1006164b728f3
Windows 10,Intel Core i3-7350K | AMD FX-8350,8,GeForce GTX 960 | Radeon R9 285,40,f3389e763ab34d2880a1006164b728f3
Windows XP / Vista / 7 / 8 / 10 32 or 64 bit,2.0 GHz CPU,1 GB,128 MB NVIDIA GeForce 6800 series or ATI Radeon X800 series or equivalent,5 GB,c7664611fa424f0a94aeb84cc0d3b542
Windows XP / Vista / 7 / 8 /10 32 or 64 bit,3.0 GHz CPU Dual or Quad Core,2 GB,256MB NVIDIA or AMD card,5 GB,c7664611fa424f0a94aeb84cc0d3b542
Mac OS X 10.13+,2.3 GHz Intel i3 or comparable,4 GB RAM,Shader Model 3.0 capabilities (anything with a graphics driver that isn't older than ~2016 probably works),2 GB available space,749d77f03ef7418cb4b01528ec58f361
Mac OS X 10.13+,3.0 GHz Intel i5 or comparable,6 GB RAM,Dedicated graphics card made after ~2015,2 GB available space,749d77f03ef7418cb4b01528ec58f361
Windows 7 or higher,AMD / Intel CPU running at 2.6 GHz or higher,4 GB,"NVIDIA/AMD dedicated graphics card, with at least 1GB of dedicated VRAM",6 GB,4cc8db70368341fe93f800d784b0e005
Windows 10 or higher,AMD / Intel CPU running at 2.6 GHz or higher,8 GB,"AMD/NVIDIA dedicated graphics card, with at least 1GB of dedicated VRAM",6 GB,4cc8db70368341fe93f800d784b0e005
"Windows 7, 8, Windows 10 (64 bit)","Intel Core i5 3570, AMD FX-6350",6 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",15 GB,5edcd2a5ab594ff59865f03fc904e5e7
"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",15 GB,5edcd2a5ab594ff59865f03fc904e5e7
Windows 7+,Intel Core i3 8100 or equivalent,4 GB,Intel Core i3 8100 or equivalent,4 GB,cc151ffe9d5745a69a9c2c6be353d6da
Windows 7+ or better,Intel Core i3 8100 or better,4 GB or more,Intel Core i3 8100 or better,4 GB,cc151ffe9d5745a69a9c2c6be353d6da
Windows 10 64-bit Operating System,Intel Core i3-4170 or AMD FX-8120,8 GB RAM,DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB,50 GB available space,dc3a03c1ce5d467bb5db4693be7dbef8
Windows 10 64-bit Operating System,Intel Core i3-4170 or AMD FX-8300 or higher,8 GB RAM,DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM,50 GB available space,dc3a03c1ce5d467bb5db4693be7dbef8
Windows 10,Dual-core processor (Intel Dual Core 2.0 GHz or AMD Athlon X2 5200+ 2.6 GHz),2 GB RAM,"Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB",1 GB available space,ee6e67c617284890a384cee6768b2cf8
Windows 10,Dual-core processor (Intel Dual Core 2.0 GHz or AMD Athlon X2 5200+ 2.6 GHz),2 GB RAM,"Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB",1 GB available space,ee6e67c617284890a384cee6768b2cf8
